
                                             CodeAnalysis
    ==============================================================================================
     Sun Nov 20 20:48:22 2016
     Path: G:\Sem3\SMA\Project4\CommChannelDemo
     Args: *.cs, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
          ICommunicator.cs    function                      MessageHeader      45       2       1
          ICommunicator.cs    function                  MessageBodyMember      48       2       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                  ITest.cs   namespace                    CommChannelDemo      40      72      21

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            LoadAndTest.cs   namespace                    CommChannelDemo      43     162      32
            LoadAndTest.cs       class                        LoadAndTest      45     160      31
            LoadAndTest.cs       class                         TestResult      54       6       4
            LoadAndTest.cs       class                        TestResults      61       6       4
            LoadAndTest.cs    function                        LoadAndTest      70       2       1
            LoadAndTest.cs    function                           loadPath      75       4       1
            LoadAndTest.cs    function                               test      82     106      19
            LoadAndTest.cs    function                               Main     191      11       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                 Loader.cs   namespace                     LoadAndExecute       8       8       3
                 Loader.cs       class                             Loader      10       6       2
                 Loader.cs    function                               Main      12       2       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                 Logger.cs   namespace                    CommChannelDemo      45     328      60
                 Logger.cs       class                             Logger      54     197      33
                 Logger.cs    function                             attach      66       6       2
                 Logger.cs    function                               lock      68       3       1
                 Logger.cs    function                  makeConsoleStream      75       8       2
                 Logger.cs    function                               lock      77       5       1
                 Logger.cs    function                     makeFileStream      86      15       4
                 Logger.cs    function                               lock      88      12       3
                 Logger.cs    function                              write     104       5       1
                 Logger.cs    function                              flush     112       8       1
                 Logger.cs    function                         threadProc     123      29       7
                 Logger.cs    function                               lock     142       7       2
                 Logger.cs    function                              start     155      10       2
                 Logger.cs    function                               lock     160       4       1
                 Logger.cs    function                            running     168       3       1
                 Logger.cs    function                              pause     177      14       4
                 Logger.cs    function                               lock     186       3       1
                 Logger.cs    function                             paused     194       3       1
                 Logger.cs    function                      showTimeStamp     200       6       1
                 Logger.cs    function                               stop     209      10       2
                 Logger.cs    function                               size     222       3       1
                 Logger.cs    function                              title     228       8       1
                 Logger.cs    function                            putLine     239       3       1
                 Logger.cs    function                         waitForKey     245       4       1
                 Logger.cs       class                         ResultsLog     259       3       1
                 Logger.cs       class                            DemoLog     260       3       1
                 Logger.cs       class                           DebugLog     261       3       1
                 Logger.cs       class                       StaticLogger     265      19      15
                 Logger.cs    function                             attach     265       2       1
                 Logger.cs    function                  makeConsoleStream     266       2       1
                 Logger.cs    function                     makeFileStream     267       2       1
                 Logger.cs    function                              write     268       2       1
                 Logger.cs    function                              flush     269       2       1
                 Logger.cs    function                      showTimeStamp     270       2       1
                 Logger.cs    function                              start     271       2       1
                 Logger.cs    function                            running     272       2       1
                 Logger.cs    function                              pause     273       2       1
                 Logger.cs    function                             paused     274       2       1
                 Logger.cs    function                               stop     275       2       1
                 Logger.cs    function                               size     276       2       1
                 Logger.cs    function                              title     277       2       1
                 Logger.cs    function                            putLine     278       2       1
                 Logger.cs       class                               RLog     287       3       1
                 Logger.cs       class                               DLog     288       3       1
                 Logger.cs       class                              DbLog     289       3       1
                 Logger.cs       class                   LoggerTestDriver     293      28       3
                 Logger.cs    function                               test     296      15       1
                 Logger.cs    function                             getLog     312       7       1
                 Logger.cs       class                         LoggerTest     321      52       2
                 Logger.cs    function                               Main     324      46       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
           MainWindow.g.cs   namespace                    CommChannelDemo      35     288       6
           MainWindow.g.cs       class                            Client1      41     282       5
           MainWindow.g.cs    function       DebuggerNonUserCodeAttribute     202      13       2
           MainWindow.g.cs    function       DebuggerNonUserCodeAttribute     222      99       2
           MainWindow.g.cs   namespace                    CommChannelDemo      35     288       6
           MainWindow.g.cs       class                            Client2      41     282       5
           MainWindow.g.cs    function       DebuggerNonUserCodeAttribute     202      13       2
           MainWindow.g.cs    function       DebuggerNonUserCodeAttribute     222      99       2

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
         MainWindow.g.i.cs   namespace                    CommChannelDemo      35     288       6
         MainWindow.g.i.cs       class                            Client1      41     282       5
         MainWindow.g.i.cs    function       DebuggerNonUserCodeAttribute     202      13       2
         MainWindow.g.i.cs    function       DebuggerNonUserCodeAttribute     222      99       2
         MainWindow.g.i.cs   namespace                    CommChannelDemo      35     288       6
         MainWindow.g.i.cs       class                            Client2      41     282       5
         MainWindow.g.i.cs    function       DebuggerNonUserCodeAttribute     202      13       2
         MainWindow.g.i.cs    function       DebuggerNonUserCodeAttribute     222      99       2

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
        MainWindow.xaml.cs   namespace                    CommChannelDemo      54     241      31
        MainWindow.xaml.cs       class                            Client1      59     235      30
        MainWindow.xaml.cs    function                            Client1      77      22       1
        MainWindow.xaml.cs    function                               wait     102       3       1
        MainWindow.xaml.cs    function                        makeMessage     108       7       1
        MainWindow.xaml.cs    function                      rcvThreadProc     118      48       8
        MainWindow.xaml.cs    function     OnNewTestResultsMessageHandler     169       4       1
        MainWindow.xaml.cs    function            OnNewLogsMessageHandler     176       4       1
        MainWindow.xaml.cs    function     OnNewFileResultsMessageHandler     183       4       1
        MainWindow.xaml.cs    function      RepoStreamConnectButton_Click     190       8       1
        MainWindow.xaml.cs    function              BrowseDLLButton_Click     201      16       2
        MainWindow.xaml.cs    function              UploadDLLButton_Click     220      17       3
        MainWindow.xaml.cs    function              SendQueryButton_Click     240      12       1
        MainWindow.xaml.cs    function            SendRequestButton_Click     255      27       5
        MainWindow.xaml.cs    function     TestHarnessConnectButton_Click     285       7       1
        MainWindow.xaml.cs   namespace                    CommChannelDemo      56     273      32
        MainWindow.xaml.cs       class                            Client2      61     268      31
        MainWindow.xaml.cs    function                            Client2      80      23       1
        MainWindow.xaml.cs    function                           automate     105      28       1
        MainWindow.xaml.cs    function                               wait     136       3       1
        MainWindow.xaml.cs    function                        makeMessage     142       7       1
        MainWindow.xaml.cs    function                      rcvThreadProc     152      49       8
        MainWindow.xaml.cs    function     OnNewTestResultsMessageHandler     204       4       1
        MainWindow.xaml.cs    function            OnNewLogsMessageHandler     211       4       1
        MainWindow.xaml.cs    function     OnNewFileResultsMessageHandler     218       4       1
        MainWindow.xaml.cs    function      RepoStreamConnectButton_Click     225       8       1
        MainWindow.xaml.cs    function              BrowseDLLButton_Click     236      16       2
        MainWindow.xaml.cs    function              UploadDLLButton_Click     255      17       3
        MainWindow.xaml.cs    function              SendQueryButton_Click     275      12       1
        MainWindow.xaml.cs    function            SendRequestButton_Click     290      27       5
        MainWindow.xaml.cs    function     TestHarnessConnectButton_Click     320       7       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
